english_name,chinese_name,start_frame,end_frame,duration_seconds
arms_shoulder_open,双手齐肩展开,0,134,5.4
right_hand_intro,右手展开介绍,143,221,3.16
left_hand_intro,左手展开介绍,226,309,3.36
left_hand_push,左手向前拨开介绍,314,410,3.88
right_hand_push,右手向前拨开介绍,417,509,3.72
right_hand_finger_heart,右手比心,517,609,3.72
right_hand_ok,右手ok,617,717,4.04
right_hand_thumbs_up,右手点赞,722,815,3.76
right_hand_wave,右手挥手,820,920,4.04
right_hand_chin_think,右手托下巴思考,925,1039,4.6
right_hand_chest,右手抚胸,1045,1136,3.68
both_hands_clap,双手抬起鼓掌,1141,1225,3.4
two_nods,两次点头致意,1233,1316,3.36
right_hand_raise,右手抬起示意,1320,1424,4.2
left_hand_wave,左手挥手,1430,1529,4.0
cross_arms_angry,双手抱胸生气,1537,1715,7.16
bow_nod,弯腰点头致意,1721,1817,3.88
shake_head_cross_arms,摇头双手交叉拒绝,1827,1946,4.8
